Algorithm,Alpha 0,Decay rate,Train loss,Test loss
SGD,0.1,1.0,0.016569355450866685,0.019110892699818968
SGD,0.1,0.1,0.021009143838761977,0.01573422926727614
SGD,0.1,0.01,0.01829905187455185,0.01487738246884553
SGD,0.1,0.001,0.013502312344613927,0.013187753744687485
SGD,0.1,0.0001,0.016575738509724814,0.012660684606218737
SGD,0.1,1e-05,0.011658088022160848,0.012546460754148177
SGD,0.1,1e-06,0.008323656964805342,0.012739359315156235
SGD,0.1,1e-07,0.016675416814473466,0.012762505591513342
SGD,0.01,1.0,0.017033995522572697,0.02110184617404246
SGD,0.01,0.1,0.02245672343096082,0.020006631142193355
SGD,0.01,0.01,0.013912554034974123,0.01601041870096752
SGD,0.01,0.001,0.022272682400576435,0.015007960317881586
SGD,0.01,0.0001,0.019112820020938004,0.014852819182014993
SGD,0.01,1e-05,0.027862009551724513,0.014874408494028397
SGD,0.01,1e-06,0.01456937971924887,0.014980414090596533
SGD,0.01,1e-07,0.012557519675151695,0.0149119470268705
SGD,0.001,1.0,0.02402502001408069,0.021223958257276635
SGD,0.001,0.1,0.019641387213446555,0.021096348118623112
SGD,0.001,0.01,0.021986809205566383,0.020037165316728993
SGD,0.001,0.001,0.018030153372592547,0.01696189483486394
SGD,0.001,0.0001,0.01944891558706942,0.01621781484624753
SGD,0.001,1e-05,0.010408098445470195,0.01622251267048446
SGD,0.001,1e-06,0.012401799589506438,0.016191620037156806
SGD,0.001,1e-07,0.016774593984902567,0.016195018339677195
SGD,0.0001,1.0,0.02356374435970078,0.021239438413737797
SGD,0.0001,0.1,0.01922861127127312,0.02122777197876743
SGD,0.0001,0.01,0.02912079890503151,0.021103362064759698
SGD,0.0001,0.001,0.019359658541828834,0.020492362851416746
SGD,0.0001,0.0001,0.026585234950707585,0.020187485300123587
SGD,0.0001,1e-05,0.015333245878431002,0.020179112245984666
SGD,0.0001,1e-06,0.01728026632653301,0.020163828376995385
SGD,0.0001,1e-07,0.023859346927008286,0.020154391684953827
SGD,1e-05,1.0,0.01835281307163009,0.02124155988194236
SGD,1e-05,0.1,0.023406699545852304,0.02124035103162909
SGD,1e-05,0.01,0.01857519730465832,0.021228196463805887
SGD,1e-05,0.001,0.01990715218590222,0.021161708577793058
SGD,1e-05,0.0001,0.017864229953417708,0.021125881643992622
SGD,1e-05,1e-05,0.03176880571224294,0.021122076361333925
SGD,1e-05,1e-06,0.02539409051335456,0.021121570134134786
SGD,1e-05,1e-07,0.010816145889663491,0.021121431227487362
SGD,1e-06,1.0,0.01769755737935528,0.021241787795614187
SGD,1e-06,0.1,0.02221671891661803,0.021241667926662437
SGD,1e-06,0.01,0.024239605778263264,0.02124047326286489
SGD,1e-06,0.001,0.02975383082936519,0.02123364803932188
SGD,1e-06,0.0001,0.03055732243327724,0.021230200697199563
SGD,1e-06,1e-05,0.017369610107552915,0.021229741017911027
SGD,1e-06,1e-06,0.020550415902886057,0.02122962216127661
SGD,1e-06,1e-07,0.025692488931346864,0.021229518645618315
